numeric_categoryID,original_categoryID
515,Tropical & Exotic Fruit
516,"Soups, Stocks & Broths"
517,Mushrooms
518,Sweet Peppers
519,Spanish & Mexican
520,German Mustard
521,Ham
522,Dried Apples
523,Smoothies
524,Fruit Bars
525,Snack Cakes & Pastries
526,Stews
527,Baking Soda
528,Kidney
529,"Bottled Beverages, Water & Drink Mixes"
530,Ice Cream
531,Dessert Syrups & Sauces
532,Wasabi Peas
533,Brie
534,Turkey
535,Consomm
536,Rice Milk
537,Daiquiri
538,Paella
539,Foie Gras & Pts
540,Fresh Cut Flowers
541,Dusting Powders
542,Peas
543,Cream Cheese
544,Brown Mustard
545,Rye
546,Pizzelles
547,Stuffed Grape Leaves
548,Honey Mustard
549,Waffles
550,Pilaf
551,"Dairy, Cheese & Eggs"
552,Split
553,Kefir
554,Papayas
555,Sweet & Sour Sauce
556,White Wine
557,Toaster Pastries
558,Pasta
559,Guacamole
560,Snack Pies
561,Sandwich Breads
562,Beans & Peas
563,Tomato Soups
564,Hard Candy & Lollipops
565,Fresh Fish
566,Udon
567,Cloves
568,Red Wine
569,Gnocchi
570,Dairy Milk
571,Ginger Snaps
572,Beef Soups
573,Fruit Cups
574,Whole Grain Mustard
575,Packaged Meals & Side Dishes
576,Pinto
577,Marzipan & Almond Paste
578,Caraway Seed
579,Ranch
580,Packaged Produce
581,Sage Leaf
582,Meat Substitutes
583,Mushrooms & Truffles
584,Stocks
585,Mozzarella
586,Swiss
587,Chorizo
588,Peanut Sauce
589,Panko
590,Tomatoes
591,Mace
592,Rosemary
593,Non-Stick Cooking Oil Sprays
594,Breasts
595,Dried Pineapples
596,Dill
597,Jasmine
598,Chutneys
599,Gouda
600,Butter & Margarine
601,Meringues
602,Black Truffles
603,Hazelnuts
604,Apricots
605,Taco Sauce
606,Rice Dishes
607,Meats
608,Crabmeat
609,Vegetarian Proteins
610,Table Salt
611,Prepared Foods
612,Cilantro Flakes
613,Orzo
614,Ladyfingers
615,Olives
616,Sunflower
617,Soybean
618,Yogurt Starter Cultures
619,Linguine
620,Summer
621,Whole Wheat
622,Jalapenos
623,Cheese & Charcuterie Gifts
624,Sugar
625,Bananas & Plantains
626,Malt
627,Pears
628,Lard
629,Wild Game & Fowl
630,Peeled
631,Marjoram
632,Ice Cream Cones & Toppings
633,Sundried Tomatoes
634,Breadcrumbs & Seasoned Coatings
635,Cayenne
636,Margarita
637,Manchego
638,Green Beans
639,Pesto
640,English Mustard
641,Canola
642,Breadcrumbs
643,Capers
644,Bisques
645,Crab
646,Pie Crusts
647,"Meatballs, Chunks & Crumbles"
648,Saccharine
649,Non-Alcoholic Wine
650,Martini
651,Bloody Mary
652,Arborio
653,Lemons
654,Tomato Sauce
655,Peaches
656,Flavored
657,Truffles
658,Water Chestnuts
659,Fresh Shellfish
660,Alfredo
661,Tamales
662,Condensed & Powdered Milk
663,Oyster Sauce
664,Relishes
665,Pork
666,Breakfast Foods
667,Blue Cheese
668,Tagliatelle
669,Seltzer Water
670,Cod
671,Chinese Star Anise
672,Cocktail Sauce
673,Spreads
674,Enchilada Sauce
675,Cut & Packaged Vegetables
676,Bubble Tea Kits
677,Live Indoor Plants
678,Fresh Flowers & Live Indoor Plants
679,Steaks
680,Bagel Chips
681,Chives
682,Smoked & Cured Fish
683,Carrots
684,Feta
685,Meals & Entrees
686,Whole Grain
687,Polenta Meal
688,Pecorino
689,Antipasto
690,Frozen
691,Ice Cream & Novelties
692,Berries
693,Seafood
694,Bell Peppers
695,Garbanzo Beans
696,Chvre
697,Tartar Sauce
698,Carnations
699,Figs
700,Dried Papayas
701,Barbecue Sauce
702,Multigrain
703,Hummus
704,Taco Shells & Kits
705,Sloppy Joe Mix
706,Lobster
707,Pasta Salads
708,Lima
709,Portabellos
710,Pinto Beans
711,Appetizers & Snacks
712,Tarragon
713,Hearts of Palm
714,Okra
715,Processed
716,Deli
717,Apples
718,Lamb
719,Tonic Water
720,"Frosting, Icing & Decorations"
721,Desserts & Toppings
722,Meatless
723,Juice
724,Cornichons
725,Fresh Pasta & Sauces
726,Dinner Rolls
727,American
728,Safflower
729,Rigatoni
730,Bean Salad
731,Ribeye
732,Potatoes
733,Deli-Sliced Meats
734,Bread & Dough
735,Fruit Compotes
736,Fresh Seafood
737,Cooking Wine
738,Plum Sauce
739,Pasta & Sauces
